marker_accession	marker_type_name	chr_id	chr_pos	p_value	pubmed_id	author	journal	pubmed_link	study	allele	trait	gene	or_per_copy	platform	ci_95	chr_location	initial_size	replicate_size	merged	cur_snp_id	snp_gene_symbols	snp_gene_ids	snp_gene_validated
2738446	SNP	19	11227325	2e-12	21909109	Kim YJ	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21909109	Large-scale genome-wide association studies in East Asians identify new genetic loci influencing metabolic traits.	C	Metabolite levels	LDLR	2.95	Affymetrix [~2.2 million] (imputed)	[2.13-3.77] mg/dL increase		12,545 Korean ancestry individuals	Up to 30,395 East Asian ancestry individuals	0	2738446	LDLR	3949	1
2738459	SNP	19	11238472	7e-06	20864672	Waterworth DM	Arterioscler Thromb Vasc Biol	http://www.ncbi.nlm.nih.gov/pubmed/20864672	Genetic variants influencing circulating lipid levels and risk of coronary artery disease.	C	LDL cholesterol	LDLR	0.02	Affymetrix, Illumina &amp; Perlegen [2,155,369] (imputed)	[0.01-0.03] unit decrease	19p13.2	up to 17,243 white European descent individuals	up to 37,774 white European descent individuals, up to 9,665 Indian Asian individuals	0	2738459	LDLR	3949	1
4804155	SNP	19	11334294	5e-06	21347282	Lettre G	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/21347282	Genome-wide association study of coronary heart disease and its risk factors in 8,090 African Americans: the NHLBI CARe Project.	C	Coronary heart disease	DOCK6	0.08	Affymetrix [~2.74 million] (imputed)	[0.05-0.11] SD increase	19p13.2	8,090 African American individuals	8,849 African American or African-Caribbean individuals	0	4804155	DOCK6	57572	1
737337	SNP	19	11347492	3e-09	20686565	Teslovich TM	Nature	http://www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	C	HDL cholesterol	DOCK6,LOC55908	0.64	Affymetrix, Illumina &amp; Perlegen [~2.6 million] (imputed)	[0.37-0.91] mg/dL decrease		99,900 European descent individuals		0	737337	DOCK6	57572	1
7253363	SNP	19	11682494	9e-06	19010793	Baranzini SE	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/19010793?ordinalpos=2&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Genome-wide association analysis of susceptibility and clinical phenotype in multiple sclerosis.	?	Multiple sclerosis (severity)	ACP5		Illumina[551,642]		19p13.2	794 cases, 883 controls		0	7253363			
3745672	SNP	19	12146369	1e-06	20598377	Nischwitz S	J Neuroimmunol	http://www.ncbi.nlm.nih.gov/pubmed/20598377	Evidence for VAV2 and ZNF433 as susceptibility genes for multiple sclerosis.	?	Multiple sclerosis	ZNF433	7.39	Illumina [~300,000]	[3.32-16.47]	19p13.2	590 Caucasian European descent cases, 825 Caucasian European descent controls		0	3745672	ZNF433	163059	1
17638629	SNP	19	12225371	7e-06	20125193	Cirulli ET	Eur J Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/20125193	Common genetic variation and performance on standardized cognitive tests.	?	Cognitive test performance	CTC-359D24.2		Illumina [up to 563,855]		19p13.2	Up to 1,086 individuals		0	17638629	ZNF788	388507	1
7247513	SNP	19	12691184	2e-06	21254220	Jiang Y	Genet Epidemiol	http://www.ncbi.nlm.nih.gov/pubmed/21254220	Propensity score-based nonparametric test revealing genetic variants underlying bipolar disorder.	?	Bipolar disorder			Affymetrix [NR]			1,868 European ancestry cases and 2,938 European ancestry controls		0	7247513	ZNF490	57474	1
7255045	SNP	19	12932268	2e-12	19862010	Ganesh SK	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19862010?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&amp;ordinalpos=1	Multiple loci influence erythrocyte phenotypes in the CHARGE Consortium.	A	Mean corpuscular volume	RTBDN	0	Affymetrix &amp; Illumina [~2.5 million](imputed)	[0.002-0.004] fl decrease	19p13.13	24,167 European ancestry individuals	9,456 European ancestry individuals	0	7255045			
11085824	SNP	19	13001546	1e-11	19862010	Ganesh SK	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19862010?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&amp;ordinalpos=1	Multiple loci influence erythrocyte phenotypes in the CHARGE Consortium.	G	Mean corpuscular hemoglobin	GCDH	0	Affymetrix &amp; Illumina [~2.5 million](imputed)	[0.003-0.005] pg decrease	19p13.13	24,167 European ancestry individuals	9,456 European ancestry individuals	0	11085824	GCDH	2639	1
4528684	SNP	19	14351573	1e-06	20400778	Morrison AC	Circ Cardiovasc Genet	http://www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	T	Mortality among heart failure patients	LPHN1	1.42	Affymetrix [~2.4 million] (imputed)	[0.99-2.03]	19p13.12	2,526 European ancestry individuals, 466 African ancestry individuals		0	4528684			
1273516	SNP	19	15677709	9e-07	22491018	Wang J	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	?	Response to tocilizumab in rheumatoid arthritis	Intergenic	4.26	Illumina [534,053]			1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	0	1273516	LOC100287986	100287986	1
3764563	SNP	19	15724202	3e-07	22228203	Aslibekyan S	Pharmacogenet Genomics	http://www.ncbi.nlm.nih.gov/pubmed/22228203	A genome-wide association study of inflammatory biomarker changes in response to fenofibrate treatment in the Genetics of Lipid Lowering Drug and Diet Network.	?	Inflammatory biomarkers	CYP4F8		Affymetrix [2,543,887](imputed)			1,092 European ancestry individuals		0	3764563	CYP4F8	11283	1
2108622	SNP	19	15990430	2e-07	22437554	Major JM	J Nutr	http://www.ncbi.nlm.nih.gov/pubmed/22437554	Genome-wide association study identifies three common variants associated with serologic response to vitamin E supplementation in men.	T	Response to Vitamin E supplementation	CYP4F2, LOC729645	0.04	Illumina [549,989]	[0.020-0.060] mg/L increase		2,112 European ancestry individuals		0	2108622	CYP4F2	8529	1
2108622	SNP	19	15990430	1e-10	21729881	Major JM	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/21729881	Genome-wide association study identifies common variants associated with circulating vitamin E levels.	T	Vitamin E levels	CYP4F2	0.03	Illumina [NR] (imputed)	[0.01-0.05] unit increase		2,402 European ancestry cases, 1612 European ancestry controls	1891 European ancestry cases, 1876 European ancestry controls	0	2108622	CYP4F2	8529	1
2108622	SNP	19	15990430	3e-08	20833655	Cha PC	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/20833655	Genome-wide association study identifies genetic determinants of warfarin responsiveness for Japanese.	T	Warfarin maintenance dose	CYP4F2		Illumina [485,227]		19p13.12	807 low dose Japanese, 707 high dose Japanese	444 individuals	0	2108622	CYP4F2	8529	1
2108622	SNP	19	15990430	3e-10	19300499	Takeuchi F	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/19300499?ordinalpos=4&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	A genome-wide association study confirms VKORC1, CYP2C9, and CYP4F2 as principal genetic determinants of warfarin dose.	?	Warfarin maintenance dose	CYP4F2	0.21	Illumina [325,997]	[0.14-0.27] mg/week increase	19p13.12	1,053 individuals	588 individuals	0	2108622	CYP4F2	8529	1
2108622	SNP	19	15990430	3e-10	19578179	Teichert M	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/19578179	A genome-wide association study of acenocoumarol maintenance dosage.	?	Acenocoumarol maintenance dosage	CYP4F2		Illumina [~550,000]		19p13.12	1,451 European ancestry individuals	287 European ancestry individuals	0	2108622	CYP4F2	8529	1
8109288	SNP	19	16185558	3e-09	22423221	Qayyum R	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22423221	A meta-analysis and genome-wide association study of platelet count and mean platelet volume in african americans.	G	Mean platelet volume	TPM4	0.26	Affymetrix &amp; Illumina [~2.2 million](imputed)	[0.18-0.34] fL increase		16,388 African American individuals		0	8109288	TPM4	7171	1
8109288	SNP	19	16185558	5e-10	22423221	Qayyum R	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22423221	A meta-analysis and genome-wide association study of platelet count and mean platelet volume in african americans.	G	Mean platelet volume	TPM4	8.72	Affymetrix &amp; Illumina [~2.2 million](imputed)	[5.98-11.46] 10^9 L decrease		16,388 African American individuals		0	8109288	TPM4	7171	1
10411936	SNP	19	16548374	2e-07	22190364	Patsopoulos NA	Ann Neurol	http://www.ncbi.nlm.nih.gov/pubmed/22190364	Genome-wide meta-analysis identifies novel multiple sclerosis susceptibility loci.	A	Multiple sclerosis	EPS15L1	1.16	Affymetrix &amp; Illumina [2,529,394]			5,545 European ancestry cases, 12,153 European ancestry controls		0	10411936	EPS15L1	58513	1
11666377	SNP	19	17118432	7e-06	19010793	Baranzini SE	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/19010793?ordinalpos=2&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Genome-wide association analysis of susceptibility and clinical phenotype in multiple sclerosis.	?	Brain lesion load	CPAMD8		Illumina[551,642]		19p13.11	791 cases,883 controls		0	11666377	CPAMD8	27151	1
2279008	SNP	19	17283302	3e-08	20881960	Lango Allen H	Nature	http://www.ncbi.nlm.nih.gov/pubmed/20881960	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	T	Height	MYO9B	0.03	Affymetrix,  Illumina [2,834,208] (imputed)			133,653 European ancestry individuals	50,074 European ancestry individuals	0	2279008	MYO9B	4650	1
8170	SNP	19	17389703	2e-09	20852631	Antoniou AC	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/20852631	A locus on 19p13 modifies risk of breast cancer in BRCA1 mutation carriers and is associated with hormone receptor-negative breast cancer in the general population.	A	Breast cancer	ABHD8,ANKLE1,C19orf62	1.26	Illumina [555,616]	[1.17-1.35]	19p13.11	1,193 white cases, 1,190 white controls	3,012 white cases, 2,974 white controls	0	8170	C19orf62	29086	1
8170	SNP	19	17389703	4e-06	20852633	Bolton KL	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/20852633	Common variants at 19p13 are associated with susceptibility to ovarian cancer.	T	Ovarian cancer	C19orf62,MERIT40	1.12	Illumina [540,573]	[1.07-1.17]	19p13.11	1,768 European ancestry cases, 2,353 European ancestry controls	8,739 European ancestry cases, 10,831 European ancestry controls	0	8170	C19orf62	29086	1
2363956	SNP	19	17394123	1e-07	20852633	Bolton KL	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/20852633	Common variants at 19p13 are associated with susceptibility to ovarian cancer.	T	Ovarian cancer	ANKLE1	1.1	Illumina [540,573]	[1.06-1.15]	19p13.11	1,768 European ancestry cases, 2,353 European ancestry controls	8,739 European ancestry cases, 10,831 European ancestry controls	0	2363956	ANKLE1	126549	1
11666579	SNP	19	17590280	3e-06	20360315	Uher R	Am J Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/20360315	Genome-wide pharmacogenetics of antidepressant response in the GENDEP project.	?	Response to antidepressants	SLC27A1	14.4	Illumina [539,391]		19p13.11	706 European descent individuals		0	11666579	SLC27A1	376497	1
12608932	SNP	19	17752688	3e-14	19734901	van Es MA	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19734901?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Genome-wide association study identifies 19p13.3 (UNC13A) and 9p21.2 as susceptibility loci for sporadic amyotrophic lateral sclerosis.	?	Amyotrophic lateral sclerosis	UNC13A	1.25	Illumina [292,768]		19p13.11	2,323 European descent cases, 9,013 European descent controls	2,532 European descent cases, 5,940 European descent controls	0	12608932	UNC13A	23025	1
874628	SNP	19	18304699	1e-08	21833088	Sawcer S	Nature	http://www.ncbi.nlm.nih.gov/pubmed/21833088	Genetic risk and a primary role for cell-mediated immune mechanisms in multiple sclerosis.	A	Multiple sclerosis	MPV17L2	1.11	Illumina [465,434]	[1.09-1.12]		9,772 European ancestry cases, 16,849 European ancestry controls	4,218 European ancestry cases, 7,296 European ancestry controls	0	874628	MPV17L2	84769	1
3764628	SNP	19	18747604	4e-06	22419666	Shi M	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	?	Orofacial clefts	Intergenic	1.89	Illumina [NR]	[2.5-1.43]		1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads		0	3764628	CRLF1;KLHL26	9244;55295	1
10423674	SNP	19	18817902	6e-09	21102462	Elks CE	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21102462	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	A	Menarche (age at onset)	CRTC1	2.3	Affymetrix &amp; Illumina [~2.5 million] (imputed)	[1.52-3.08] week decrease	19p13.11	87,802 European ancestry women	Up to 14,731 women	0	10423674	CRTC1	23373	1
1064395	SNP	19	19361734	2e-09	21353194	Cichon S	Am J Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/21353194	Genome-wide association study identifies genetic variation in neurocan as a susceptibility factor for bipolar disorder.	A	Bipolar disorder	NCAN	1.17	Illumina [511,978]		19p13.11	682 European ancestry cases, 1,300 European ancestry controls	7,759 European ancestry cases, 34,062 European ancestry controls	0	1064395	NCAN	1463	1
10401969	SNP	19	19407717	1e-11	20864672	Waterworth DM	Arterioscler Thromb Vasc Biol	http://www.ncbi.nlm.nih.gov/pubmed/20864672	Genetic variants influencing circulating lipid levels and risk of coronary artery disease.	T	LDL cholesterol	SF4,CILP2	0.05	Affymetrix, Illumina &amp; Perlegen [2,155,369] (imputed)	[0.04-0.06] unit increase	19p13.11	up to 17,243 white European descent individuals	up to 37,774 white European descent individuals, up to 9,665 Indian Asian individuals	0	10401969	SUGP1	57794	1
10401969	SNP	19	19407717	3e-38	20686565	Teslovich TM	Nature	http://www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	C	Cholesterol, total	CSPG3,CILP2,PBX4	4.74	Affymetrix, Illumina &amp; Perlegen [~2.6 million] (imputed)	[3.92-5.56] mg/dL decrease		Up to 100,184 European descent individuals		0	10401969	SUGP1	57794	1
10401969	SNP	19	19407717	2e-29	20686565	Teslovich TM	Nature	http://www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	C	Triglycerides	CSPG3,CILP2,PBX4	7.83	Affymetrix, Illumina &amp; Perlegen [~2.6 million] (imputed)	[6.22-9.44] mg/dL decrease		Up to 96,598 European descent individuals		0	10401969	SUGP1	57794	1
10401969	SNP	19	19407717	7e-22	20686565	Teslovich TM	Nature	http://www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	C	LDL cholesterol	CSPG3,CILP2,PBX4	3.11	Affymetrix, Illumina &amp; Perlegen [~2.6 million] (imputed)	[2.37-3.85] mg/dL decrease		Up to 95,454 European descent individuals		0	10401969	SUGP1	57794	1
10401969	SNP	19	19407717	2e-08	19060906	Kathiresan S	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19060906?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Common variants at 30 loci contribute to polygenic dyslipidemia.	C	LDL cholesterol	NCAN, CILP2, PBX4	0.05	Affymetrix and Illumina [~2,600,000] (imputed)	[-0.03-0.13] s.d. decrease	19p13.11	19,840 individuals	Up to 20,623 individuals	0	10401969	SUGP1	57794	1
16996148	SNP	19	19658471	3e-09	18193043	Willer CJ	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/18193043?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Newly identified loci that influence lipid concentrations and risk of coronary artery disease.	G	Triglycerides	NCAN,CILP2	6.1	Illumina and Affymetrix[~2,261,000]] (imputed)		19p13.11	8,684 individuals	5,312-9,707 individuals	0	16996148			
16996148	SNP	19	19658471	3e-09	18193043	Willer CJ	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/18193043?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Newly identified loci that influence lipid concentrations and risk of coronary artery disease.	G	LDL cholesterol	NCAN,CILP2	3.32	Illumina and Affymetrix[~2,261,000] (imputed)		19p13.11	8,589 individuals	7,440-10,783 individuals	0	16996148			
16996148	SNP	19	19658471	3e-08	18193044	Kathiresan S	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/18193044?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Six new loci associated with blood low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides in humans.	T	LDL cholesterol	CILP2, PBX4	0.1	Affymetrix[389,878]	[0.06-0.14] % SD lower	19p13.11	2,758 individuals	18,544 individuals	0	16996148			
16996148	SNP	19	19658471	4e-09	18193044	Kathiresan S	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/18193044?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Six new loci associated with blood low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides in humans.	T	Triglycerides	CILP2, PBX4	0.1	Affymetrix[389,878]	[0.06-0.14] % SD lower	19p13.11	2,758 individuals	18,544 individuals	0	16996148			
17216525	SNP	19	19662219	4e-11	19060906	Kathiresan S	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19060906?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Common variants at 30 loci contribute to polygenic dyslipidemia.	T	Triglycerides	NCAN,CILP2,PBX4	0.11	Affymetrix and Illumina [~2,600,000] (imputed)	[0.05-0.17] s.d. decrease	19p13.11	19,840 individuals	Up to 20,623 individuals	0	17216525			
2304130	SNP	19	19789527	3e-06	19060911	Aulchenko YS	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19060911?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.	G	Triglycerides	NCAN	0.1	Illumina and Affymetrix [up to 600,000]		19p13.11	17,815 individuals		0	2304130	ZNF101	94039	1
2304130	SNP	19	19789527	3e-06	19060911	Aulchenko YS	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19060911?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.	G	LDL cholesterol	NCAN	0.12	Illumina and Affymetrix [up to 600,000]		19p13.11	17,797 individuals		0	2304130	ZNF101	94039	1
2304130	SNP	19	19789527	2e-15	19060911	Aulchenko YS	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19060911?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.	G	Cholesterol, total	NCAN	0.15	Illumina and Affymetrix [up to ~600,000]		19p13.11	22,562 individuals		0	2304130	ZNF101	94039	1
2304130	SNP	19	19789527	4e-08	20864672	Waterworth DM	Arterioscler Thromb Vasc Biol	http://www.ncbi.nlm.nih.gov/pubmed/20864672	Genetic variants influencing circulating lipid levels and risk of coronary artery disease.	G	Triglycerides	CILP2,ZNF101	0.07	Affymetrix, Illumina &amp; Perlegen [2,155,369] (imputed)	[0.04-0.10] unit decrease	19p13.11	up to 17,243 white European descent individuals	up to 37,774 white European descent individuals, up to 9,665 Indian Asian individuals	0	2304130	ZNF101	94039	1
2304130	SNP	19	19789527	6e-09	22359512	Demirkan A	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22359512	Genome-wide association study identifies novel loci associated with circulating phospho- and sphingolipid concentrations.	?	Sphingolipid levels	LPAR2	0.8	Illumina [NR] (imputed)			4,034 European ancestry individuals		0	2304130	ZNF101	94039	1
10411195	SNP	19	20036175	6e-06	19247474	Caporaso N	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/19247474?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Genome-wide and candidate gene association study of cigarette smoking behaviors.	?	Smoking behavior	ZNF505	0.21	Illumina [~518,000]		19p12	4,611 individuals (2,617 smokers)		0	10411195	ZNF138;ZNF93;ZNF92	7697;81931;168374	1
2562456	SNP	19	21666209	2e-10	19207018	Kim H	Pharmacogenomics	http://www.ncbi.nlm.nih.gov/pubmed/19207018	Genome-wide association study of acute post-surgical pain in humans.	?	Pain	LOC400680, ZNF429		Affymetrix [374,975]		19p12	60 females, 52 males		0	2562456			
8101143	SNP	19	21956135	2e-07	22864933	O&#39;Donnell PH	Cancer	http://www.ncbi.nlm.nih.gov/pubmed/22864933	Identification of novel germline polymorphisms governing capecitabine sensitivity.	?	Capecitabine sensitivity	Intergenic		NR [~2 million]			Up to 84 East Asian ancestry lymphoblastoid cell lines, up to 164 European ancestry lymphoblastoid cell lines, up to 173 African ancestry lymphoblastoid cell lines, up to 82 African American lymphoblastoid cell lines		0	8101143			
1975174	SNP	19	22515250	2e-06	20421499	Levy D	Proc Natl Acad Sci U S A	http://www.ncbi.nlm.nih.gov/pubmed/20421499	Genome-wide association identifies OBFC1 as a locus involved in human leukocyte telomere biology.	T	Telomere length	ZNF676	0.05	Affymetrix &amp; Illumina [~2.5 million] (imputed)	[0.03-0.07] kb increase	19p12	3,417 European ancestry individuals	1,893 African American and white individuals, 2,876 British women	0	1975174	ZNF492;ZNF98	57615;148198	1
931608	SNP	19	22614121	3e-07	22331829	Chasman DI	Circ Cardiovasc Genet	http://www.ncbi.nlm.nih.gov/pubmed/22331829	Genetic determinants of statin-induced low-density lipoprotein cholesterol reduction: the Justification for the Use of Statins in Prevention: an Intervention Trial Evaluating Rosuvastatin (JUPITER) trial.	?	Response to statin therapy (LDL-C)	LOC342994, ZNF98	4.2	Illumina [814,418]	[2.44-5.96] mg/dL increase		6,989 European ancestry individuals		0	931608	ZNF492	57615	1
8111998	SNP	19	22741674	8e-07	21979947	Li X	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/21979947	A genome-wide association study identifies a potential novel gene locus for keratoconus, one of the commonest causes for corneal transplantation in developed countries.	?	Corneal structure	Intergenic	1.71	Illumina [~290,000]			222 European ancestry cases, 3,324 European ancestry controls	304 European ancestry cases, 518 European ancestry controls, 146 European ancestry cases from 70 families, 161 European ancestry controls from 70 families	0	8111998	ZNF492	57615	1
11083866	SNP	19	29736341	5e-06	22903471	Hibar DP	Brain Imaging Behav	http://www.ncbi.nlm.nih.gov/pubmed/22903471	Genome-wide association identifies genetic variants associated with lentiform nucleus volume in N&#x02009;=&#x02009;1345 young and elderly subjects.	A	Lentiform nucleus volume	Intergenic	114.77	Illumina [2,380,200] (imputed)			162 European ancestry Alzheimer&#39;s disease cases, 346 European ancestry mild cognitive impairment cases, 198 European ancestry controls, 639 European ancestry individuals from 364 families		0	11083866			
10403021	SNP	19	30079603	2e-06	21441570	Grassi MA	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/21441570	Genome-wide meta-analysis for severe diabetic retinopathy.	C	Diabetic retinopathy	VSTM2B	1.01	Affymetrix &amp; Illumina [2,543,887] (imputed)		19q12	973 European ancestry cases, 1,856 European ancestry controls		0	10403021			
8102137	SNP	19	30296852	2e-11	20972438	Rothman N	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/20972438	A multi-stage genome-wide association study of bladder cancer identifies multiple susceptibility loci.	C	Bladder cancer	CCNE1	1.13	Illumina [591,637]	[1.09-1.17]	19q12	3,532 European descent cases, 5,120 European descent controls	8,382 cases, 48,275 controls	0	8102137			
746961	SNP	19	31099889	8e-07	17903293	Benjamin EJ	BMC Med Genet	http://www.ncbi.nlm.nih.gov/pubmed/17903293?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Genome-wide association with select biomarker traits in the Framingham Heart Study.	?	Select biomarker traits	ZNF536		Affymetrix[70,897]		19q12	1,012 individuals(Framingham)		0	746961			
12459897	SNP	19	31596777	8e-07	21829377	Lemaitre RN	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/21829377	Genetic loci associated with plasma phospholipid n-3 fatty acids: a meta-analysis of genome-wide association studies from the CHARGE Consortium.	T	Phospholipid levels (plasma)	TSHZ3	0.09	Affymetrix &amp; Illumina [NR]			8,866 European ancestry individuals		0	12459897			
1078373	SNP	19	31801129	6e-06	19734545	Need AC	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/19734545?ordinalpos=4&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	A genome-wide study of common SNPs and CNVs in cognitive performance in the CANTAB.	?	Cognitive performance	TSHZ3		Illumina [475,971]		19q12	1,295 individuals		0	1078373	TSHZ3	57616	1
11880316	SNP	19	31911128	4e-06	22675492	Prescott J	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/22675492	Genome-wide association study of circulating estradiol, testosterone, and sex hormone-binding globulin in postmenopausal women.	A	Estradiol levels	Intergenic	0.41	Illumina [~2.5 million] (imputed)			1,583 European ancestry women		0	11880316			
2111504	SNP	19	32917454	2e-06	19488044	Smith EN	Mol Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/19488044	Genome-wide association study of bipolar disorder in European American and African American individuals.	T	Bipolar disorder	DPY19L3	1.74	Affymetrix [702,044]		19q13.11	1,001 European ancestry cases, 345 African American cases, 1,033 European ancestry controls, 670 African American controls	1,749 European ancestry family members, 1,263 European ancestry cases, 431 European ancestry controls	0	2111504	DPY19L3	147991	1
12460876	SNP	19	33356890	3e-15	20383146	Kottgen A	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	C	Chronic kidney disease	SLC7A9,CCDC123,ECAT8	0.01	Affymetrix &amp; Illumina [~2.5 million] (imputed)	[0.006-0.01] ml/min/1.73 m2 increase	19q13.11	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	0	12460876	SLC7A9	11136	1
8101881	SNP	19	33364627	6e-27	21572414	Suhre K	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21572414	A genome-wide association study of metabolic traits in human urine.	C	Urinary metabolites	SLC7A9		Affymetrix [645,249]		19q13.11	862 European ancestry males	1,862 European ancestry individuals	0	8101881			
